Week,Date,Communication Type,Audience,Key Topics,Decisions Made,Action Items,Owner,Status
1,[Date],Kickoff Meeting,[Your stakeholders],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
1,[Date],Weekly Exec Update,[Your executives],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
2,[Date],Weekly Exec Update,[Your executives],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
3,[Date],Weekly Exec Update,[Your executives],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
4,[Date],Weekly Exec Update,[Your executives],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
4,[Date],Domain Expert Workshop,[Your domain experts],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
5,[Date],Weekly Exec Update,[Your executives],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
6,[Date],Weekly Exec Update,[Your executives],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
6,[Date],Tech Deep Dive,[Your engineering team],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
7,[Date],Weekly Exec Update,[Your executives],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
8,[Date],Weekly Exec Update,[Your executives],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
8,[Date],Phase Retrospective,[Your project team],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
9,[Date],Weekly Exec Update,[Your executives],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
10,[Date],Weekly Exec Update,[Your executives],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
10,[Date],User Preview,[Your UAT participants],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
11,[Date],Weekly Exec Update,[Your executives],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
12,[Date],Weekly Exec Update,[Your executives],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
12,[Date],Project Completion Demo,[All stakeholders],[Topics discussed],[Decisions],[Action items],[Owner],⏳ Pending
